GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700258,27,10
21700245,27,11
21700206,27,12
21700193,27,2
21700179,27,23
21700152,27,17
21700142,27,26
21700124,27,25
21700111,27,3
21700094,27,8
21700073,27,28
21700030,27,21
21701176,2,7
21701156,2,10
21701149,2,19
21701131,2,15
21701080,2,25
21701065,2,10
21701050,2,13
21700950,2,21
21700937,2,8
21700923,2,20
21700908,2,28
21700894,2,5
21700869,2,7
21700807,2,9
21700779,2,3
21700757,2,18
21700734,2,21
21700715,2,26
21700674,2,4
21700664,2,24
21700646,2,1
21700549,2,14
21700466,2,30
21700430,2,12
21700415,2,22
21700397,2,29
21700379,2,20
21700353,2,23
21700329,2,16
21700298,2,18
21700270,2,17
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700254,2,28
21700220,2,11
21700149,2,13
21700136,2,29
21700106,2,26
21700090,2,27
21700049,2,30
21700028,2,24
21700001,2,6
21701200,10,24
21701187,10,26
21701171,10,6
21701109,10,8
21701097,10,11
21701082,10,28
21701046,10,4
21701031,10,19
21700979,10,3
21700958,10,29
21700944,10,17
21700901,10,21
21700876,10,13
21700847,10,18
21700812,10,27
21700798,10,6
21700787,10,16
21700769,10,14
21700769,10,14
21700769,10,14
21700769,10,14
21700746,10,9
21700735,10,22
21700716,10,12
21700667,10,5
21700656,10,21
21700631,10,1
21700615,10,2
21700599,10,18
21700546,10,13
21700522,10,29
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700480,10,20
21700437,10,23
21700424,10,28
21700350,10,25
21700319,10,26
21700307,10,17
21700237,10,7
21700221,10,27
21700165,10,15
21700153,10,30
21700139,10,7
21700027,10,20
21700014,10,30
21701204,21,10
21701181,21,19
21701169,21,20
21701124,21,7
21701104,21,22
21701089,21,30
21700977,21,30
21700966,21,10
21700913,21,13
21700873,21,6
21700853,21,29
21700841,21,15
21700817,21,11
21700805,21,28
21700790,21,14
21700776,21,18
21700761,21,16
21700747,21,2
21700724,21,4
21700702,21,12
21700685,21,28
21700669,21,7
21700638,21,17
21700580,21,3
21700530,21,5
21700498,21,26
21700471,21,27
21700438,21,24
21700398,21,8
21700386,21,6
21700368,21,1
21700303,21,25
21700242,21,2
21700189,21,18
21700169,21,29
21700159,21,26
21700132,21,23
21700119,21,13
21700056,21,9
21700041,21,20
21700003,21,17
21701193,30,28
21701160,30,17
21701144,30,7
21701083,30,13
21701069,30,8
21701039,30,2
21701010,30,11
21700967,30,16
21700953,30,6
21700930,30,19
21700870,30,20
21700859,30,10
21700844,30,24
21700829,30,7
21700822,30,9
21700731,30,13
21700717,30,22
21700657,30,1
21700644,30,18
21700632,30,21
21700593,30,3
21700560,30,10
21700547,30,14
21700524,30,26
21700509,30,27
21700458,30,24
21700444,30,20
21700409,30,12
21700391,30,6
21700380,30,27
21700344,30,2
21700322,30,23
21700299,30,25
21700287,30,18
